sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-445_iter-1,depth-445_iter-2,depth-445_iter-3,depth-445_iter-4,depth-445_iter-5,depth-445_iter-6,depth-445_iter-7,depth-445_iter-8,depth-445_iter-9,depth-445_iter-10,depth-889_iter-1,depth-889_iter-2,depth-889_iter-3,depth-889_iter-4,depth-889_iter-5,depth-889_iter-6,depth-889_iter-7,depth-889_iter-8,depth-889_iter-9,depth-889_iter-10,depth-1334_iter-1,depth-1334_iter-2,depth-1334_iter-3,depth-1334_iter-4,depth-1334_iter-5,depth-1334_iter-6,depth-1334_iter-7,depth-1334_iter-8,depth-1334_iter-9,depth-1334_iter-10,depth-1778_iter-1,depth-1778_iter-2,depth-1778_iter-3,depth-1778_iter-4,depth-1778_iter-5,depth-1778_iter-6,depth-1778_iter-7,depth-1778_iter-8,depth-1778_iter-9,depth-1778_iter-10,depth-2222_iter-1,depth-2222_iter-2,depth-2222_iter-3,depth-2222_iter-4,depth-2222_iter-5,depth-2222_iter-6,depth-2222_iter-7,depth-2222_iter-8,depth-2222_iter-9,depth-2222_iter-10,depth-2667_iter-1,depth-2667_iter-2,depth-2667_iter-3,depth-2667_iter-4,depth-2667_iter-5,depth-2667_iter-6,depth-2667_iter-7,depth-2667_iter-8,depth-2667_iter-9,depth-2667_iter-10,depth-3111_iter-1,depth-3111_iter-2,depth-3111_iter-3,depth-3111_iter-4,depth-3111_iter-5,depth-3111_iter-6,depth-3111_iter-7,depth-3111_iter-8,depth-3111_iter-9,depth-3111_iter-10,depth-3555_iter-1,depth-3555_iter-2,depth-3555_iter-3,depth-3555_iter-4,depth-3555_iter-5,depth-3555_iter-6,depth-3555_iter-7,depth-3555_iter-8,depth-3555_iter-9,depth-3555_iter-10,depth-4000_iter-1,depth-4000_iter-2,depth-4000_iter-3,depth-4000_iter-4,depth-4000_iter-5,depth-4000_iter-6,depth-4000_iter-7,depth-4000_iter-8,depth-4000_iter-9,depth-4000_iter-10,Subject,BodySite,DaysSinceExperimentStart
S159,1,1,1,1,1,1,1,1,1,1,31.0,33.0,32.0,32.0,34.0,26.0,32.0,34.0,31.0,31.0,34.0,35.0,33.0,33.0,34.0,35.0,36.0,36.0,35.0,32.0,38.0,36.0,37.0,39.0,38.0,35.0,35.0,36.0,38.0,35.0,37.0,39.0,38.0,36.0,37.0,39.0,38.0,39.0,35.0,38.0,39.0,39.0,38.0,37.0,37.0,35.0,37.0,38.0,36.0,36.0,38.0,39.0,39.0,37.0,38.0,38.0,39.0,39.0,38.0,38.0,38.0,37.0,39.0,38.0,38.0,39.0,38.0,38.0,37.0,39.0,38.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,NA,NA,NA
S16,1,1,1,1,1,1,1,1,1,1,57.0,58.0,58.0,56.0,57.0,59.0,58.0,57.0,54.0,57.0,60.0,60.0,60.0,60.0,58.0,60.0,60.0,60.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,NA,NA,NA
S160,1,1,1,1,1,1,1,1,1,1,30.0,25.0,32.0,30.0,28.0,27.0,24.0,27.0,30.0,27.0,33.0,32.0,31.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,33.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,33.0,34.0,32.0,33.0,34.0,33.0,33.0,34.0,33.0,34.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,33.0,33.0,34.0,34.0,34.0,33.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,33.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,34.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0,34.0,NA,NA,NA
S161,1,1,1,1,1,1,1,1,1,1,35.0,37.0,37.0,39.0,39.0,35.0,39.0,36.0,34.0,38.0,39.0,40.0,39.0,39.0,39.0,38.0,40.0,40.0,38.0,38.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NA,NA,NA
S162,1,1,1,1,1,1,1,1,1,1,64.0,63.0,65.0,61.0,64.0,62.0,65.0,63.0,65.0,66.0,70.0,69.0,70.0,70.0,70.0,69.0,67.0,70.0,68.0,69.0,70.0,69.0,71.0,70.0,68.0,69.0,71.0,70.0,70.0,71.0,70.0,71.0,71.0,71.0,71.0,72.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,71.0,72.0,71.0,71.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,71.0,72.0,71.0,71.0,71.0,72.0,71.0,72.0,71.0,71.0,72.0,71.0,71.0,72.0,71.0,72.0,71.0,NA,NA,NA
S163,1,1,1,1,1,1,1,1,1,1,34.0,31.0,32.0,31.0,34.0,32.0,33.0,31.0,31.0,29.0,36.0,35.0,35.0,34.0,37.0,34.0,35.0,33.0,36.0,35.0,35.0,37.0,36.0,35.0,37.0,37.0,37.0,36.0,35.0,37.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,36.0,37.0,37.0,36.0,36.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,36.0,37.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,NA,NA,NA
S164,1,1,1,1,1,1,1,1,1,1,52.0,56.0,53.0,53.0,55.0,56.0,54.0,57.0,55.0,54.0,60.0,63.0,58.0,60.0,58.0,58.0,59.0,60.0,57.0,57.0,62.0,61.0,62.0,60.0,62.0,59.0,61.0,62.0,59.0,62.0,62.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,63.0,62.0,61.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,61.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,NA,NA,NA
S165,1,1,1,1,1,1,1,1,1,1,36.0,35.0,34.0,37.0,34.0,37.0,36.0,37.0,37.0,39.0,38.0,38.0,38.0,36.0,38.0,37.0,39.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,38.0,38.0,39.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,38.0,39.0,38.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,NA,NA,NA
S166,1,1,1,1,1,1,1,1,1,1,27.0,24.0,27.0,24.0,25.0,25.0,24.0,24.0,25.0,26.0,27.0,27.0,30.0,25.0,27.0,29.0,28.0,26.0,26.0,26.0,29.0,30.0,29.0,27.0,29.0,31.0,29.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,32.0,28.0,30.0,30.0,30.0,28.0,32.0,32.0,30.0,29.0,31.0,33.0,30.0,29.0,30.0,31.0,29.0,31.0,30.0,30.0,32.0,31.0,31.0,31.0,32.0,30.0,32.0,30.0,29.0,31.0,30.0,28.0,29.0,31.0,32.0,30.0,31.0,30.0,31.0,31.0,31.0,33.0,31.0,31.0,31.0,30.0,32.0,31.0,31.0,31.0,31.0,32.0,33.0,32.0,32.0,33.0,NA,NA,NA
S167,1,1,1,1,1,1,1,1,1,1,22.0,24.0,19.0,21.0,25.0,21.0,21.0,21.0,22.0,21.0,23.0,26.0,23.0,24.0,24.0,25.0,28.0,27.0,24.0,24.0,27.0,28.0,29.0,27.0,27.0,25.0,27.0,30.0,28.0,27.0,28.0,28.0,30.0,29.0,29.0,28.0,28.0,28.0,28.0,27.0,29.0,29.0,30.0,29.0,29.0,27.0,30.0,28.0,28.0,29.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,28.0,29.0,28.0,30.0,28.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,28.0,29.0,NA,NA,NA
S168,1,1,1,1,1,1,1,1,1,1,31.0,33.0,35.0,35.0,33.0,33.0,32.0,32.0,32.0,33.0,34.0,35.0,35.0,35.0,34.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,NA,NA,NA
S169,1,1,1,1,1,1,1,1,1,1,40.0,41.0,40.0,34.0,40.0,39.0,39.0,37.0,39.0,38.0,43.0,45.0,43.0,43.0,44.0,43.0,40.0,42.0,42.0,42.0,46.0,46.0,46.0,46.0,44.0,45.0,45.0,44.0,46.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,NA,NA,NA
S17,1,1,1,1,1,1,1,1,1,1,48.0,48.0,46.0,46.0,48.0,48.0,48.0,47.0,52.0,48.0,50.0,50.0,52.0,51.0,51.0,53.0,51.0,50.0,49.0,48.0,53.0,52.0,50.0,52.0,52.0,49.0,50.0,52.0,50.0,53.0,54.0,53.0,52.0,51.0,50.0,54.0,53.0,52.0,53.0,54.0,53.0,53.0,54.0,54.0,53.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,53.0,53.0,54.0,54.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0,53.0,52.0,53.0,54.0,54.0,54.0,53.0,53.0,54.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0,54.0,53.0,54.0,54.0,NA,NA,NA
S170,1,1,1,1,1,1,1,1,1,1,48.0,48.0,49.0,49.0,48.0,47.0,51.0,51.0,47.0,50.0,52.0,49.0,54.0,51.0,51.0,49.0,47.0,55.0,53.0,53.0,52.0,53.0,55.0,56.0,53.0,54.0,57.0,53.0,53.0,52.0,54.0,55.0,53.0,55.0,56.0,56.0,57.0,55.0,53.0,54.0,55.0,56.0,53.0,57.0,54.0,53.0,54.0,54.0,55.0,52.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,54.0,56.0,59.0,57.0,55.0,57.0,58.0,56.0,52.0,56.0,55.0,57.0,55.0,58.0,56.0,56.0,56.0,56.0,58.0,57.0,57.0,58.0,59.0,58.0,56.0,57.0,57.0,55.0,57.0,57.0,54.0,57.0,NA,NA,NA
S171,1,1,1,1,1,1,1,1,1,1,17.0,18.0,18.0,17.0,16.0,16.0,19.0,17.0,16.0,18.0,18.0,17.0,17.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,19.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,NA,NA,NA
S172,1,1,1,1,1,1,1,1,1,1,39.0,34.0,38.0,39.0,39.0,38.0,37.0,40.0,37.0,40.0,44.0,41.0,41.0,45.0,43.0,42.0,41.0,42.0,44.0,43.0,43.0,42.0,43.0,42.0,43.0,44.0,45.0,43.0,45.0,44.0,44.0,44.0,42.0,43.0,45.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,47.0,45.0,44.0,46.0,46.0,46.0,46.0,46.0,45.0,44.0,47.0,45.0,46.0,46.0,46.0,47.0,43.0,45.0,46.0,45.0,47.0,45.0,45.0,46.0,45.0,44.0,45.0,47.0,44.0,47.0,46.0,45.0,45.0,46.0,46.0,45.0,46.0,46.0,47.0,46.0,47.0,45.0,46.0,47.0,45.0,45.0,47.0,46.0,NA,NA,NA
S173,1,1,1,1,1,1,1,1,1,1,30.0,27.0,28.0,26.0,28.0,27.0,28.0,26.0,27.0,28.0,32.0,33.0,30.0,30.0,28.0,31.0,32.0,30.0,32.0,32.0,33.0,33.0,34.0,32.0,31.0,33.0,34.0,32.0,32.0,32.0,33.0,33.0,33.0,35.0,32.0,31.0,33.0,32.0,33.0,31.0,32.0,33.0,32.0,32.0,33.0,32.0,34.0,34.0,33.0,34.0,31.0,35.0,34.0,33.0,32.0,33.0,32.0,33.0,34.0,33.0,35.0,34.0,35.0,34.0,34.0,33.0,35.0,33.0,33.0,35.0,34.0,34.0,34.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,35.0,34.0,35.0,32.0,35.0,33.0,34.0,33.0,33.0,34.0,NA,NA,NA
S174,1,1,1,1,1,1,1,1,1,1,32.0,29.0,31.0,29.0,29.0,30.0,29.0,31.0,30.0,28.0,32.0,30.0,32.0,32.0,32.0,32.0,30.0,30.0,31.0,31.0,32.0,31.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,NA,NA,NA
S175,1,1,1,1,1,1,1,1,1,1,39.0,41.0,39.0,39.0,40.0,40.0,37.0,37.0,38.0,41.0,44.0,43.0,42.0,41.0,43.0,40.0,42.0,43.0,41.0,43.0,43.0,44.0,45.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,45.0,44.0,44.0,45.0,43.0,46.0,46.0,47.0,45.0,45.0,44.0,45.0,46.0,45.0,44.0,45.0,44.0,44.0,43.0,44.0,46.0,44.0,44.0,45.0,46.0,46.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,44.0,45.0,46.0,44.0,46.0,47.0,44.0,46.0,45.0,46.0,47.0,47.0,45.0,46.0,47.0,46.0,47.0,47.0,45.0,45.0,47.0,46.0,NA,NA,NA
S176,1,1,1,1,1,1,1,1,1,1,22.0,22.0,21.0,22.0,20.0,23.0,22.0,19.0,21.0,20.0,25.0,22.0,23.0,24.0,25.0,24.0,23.0,23.0,21.0,22.0,26.0,27.0,26.0,25.0,27.0,27.0,26.0,24.0,28.0,25.0,27.0,27.0,27.0,26.0,28.0,26.0,26.0,28.0,25.0,28.0,27.0,27.0,27.0,28.0,28.0,27.0,28.0,28.0,28.0,27.0,28.0,28.0,26.0,28.0,25.0,27.0,29.0,29.0,29.0,28.0,28.0,27.0,29.0,29.0,29.0,27.0,28.0,27.0,27.0,27.0,29.0,28.0,28.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,26.0,29.0,29.0,28.0,29.0,29.0,29.0,NA,NA,NA
S177,1,1,1,1,1,1,1,1,1,1,31.0,30.0,32.0,28.0,30.0,30.0,32.0,29.0,30.0,32.0,31.0,33.0,35.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,32.0,34.0,35.0,33.0,34.0,34.0,33.0,34.0,34.0,33.0,35.0,35.0,35.0,35.0,34.0,35.0,36.0,34.0,34.0,34.0,34.0,35.0,35.0,34.0,36.0,34.0,33.0,34.0,34.0,34.0,34.0,35.0,35.0,34.0,33.0,35.0,34.0,34.0,36.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,35.0,36.0,36.0,35.0,35.0,35.0,36.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,NA,NA,NA
S178,1,1,1,1,1,1,1,1,1,1,33.0,32.0,31.0,33.0,33.0,33.0,34.0,33.0,30.0,33.0,33.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,33.0,34.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,33.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,NA,NA,NA
S179,1,1,1,1,1,1,1,1,1,1,33.0,31.0,34.0,31.0,35.0,33.0,34.0,32.0,31.0,32.0,38.0,38.0,39.0,36.0,38.0,36.0,36.0,38.0,38.0,37.0,39.0,38.0,40.0,37.0,39.0,40.0,38.0,40.0,38.0,39.0,37.0,37.0,39.0,39.0,37.0,38.0,39.0,39.0,39.0,38.0,39.0,39.0,38.0,38.0,38.0,40.0,38.0,39.0,39.0,40.0,40.0,41.0,39.0,38.0,39.0,38.0,38.0,40.0,40.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0,39.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,39.0,40.0,40.0,39.0,41.0,41.0,40.0,38.0,41.0,41.0,40.0,40.0,40.0,40.0,NA,NA,NA
S18,1,1,1,1,1,1,1,1,1,1,38.0,37.0,36.0,37.0,37.0,37.0,36.0,36.0,37.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,NA,NA,NA
S180,1,1,1,1,1,1,1,1,1,1,29.0,30.0,29.0,29.0,29.0,26.0,26.0,26.0,28.0,27.0,29.0,32.0,29.0,30.0,29.0,28.0,31.0,31.0,29.0,29.0,31.0,31.0,30.0,31.0,31.0,29.0,30.0,32.0,30.0,29.0,32.0,31.0,32.0,31.0,32.0,32.0,30.0,30.0,30.0,31.0,31.0,33.0,31.0,31.0,30.0,31.0,31.0,33.0,31.0,32.0,32.0,30.0,32.0,32.0,31.0,32.0,33.0,32.0,30.0,32.0,33.0,32.0,33.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,32.0,32.0,30.0,33.0,32.0,32.0,33.0,30.0,32.0,33.0,33.0,32.0,33.0,33.0,32.0,31.0,NA,NA,NA
S181,1,1,1,1,1,1,1,1,1,1,21.0,23.0,23.0,21.0,25.0,25.0,23.0,25.0,26.0,22.0,30.0,28.0,25.0,25.0,26.0,29.0,27.0,29.0,26.0,28.0,28.0,31.0,29.0,28.0,30.0,32.0,32.0,29.0,30.0,29.0,29.0,31.0,31.0,31.0,32.0,30.0,30.0,31.0,32.0,31.0,30.0,31.0,31.0,31.0,32.0,32.0,30.0,31.0,31.0,30.0,31.0,31.0,32.0,32.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,31.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,30.0,32.0,32.0,31.0,32.0,31.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,NA,NA,NA
S182,1,1,1,1,1,1,1,1,1,1,28.0,27.0,28.0,27.0,25.0,27.0,31.0,27.0,27.0,23.0,31.0,31.0,30.0,32.0,39.0,29.0,33.0,36.0,39.0,33.0,33.0,39.0,35.0,35.0,32.0,39.0,37.0,38.0,37.0,41.0,40.0,39.0,40.0,36.0,40.0,38.0,36.0,40.0,40.0,38.0,42.0,41.0,41.0,42.0,42.0,39.0,43.0,41.0,39.0,41.0,41.0,39.0,44.0,41.0,42.0,45.0,42.0,42.0,43.0,46.0,42.0,42.0,42.0,41.0,42.0,42.0,44.0,44.0,41.0,46.0,43.0,47.0,43.0,40.0,45.0,44.0,47.0,44.0,46.0,40.0,51.0,49.0,44.0,46.0,44.0,44.0,43.0,43.0,44.0,44.0,NA,NA,NA
S183,1,1,1,1,1,1,1,1,1,1,40.0,42.0,40.0,40.0,40.0,41.0,40.0,39.0,39.0,40.0,41.0,41.0,42.0,43.0,43.0,44.0,43.0,41.0,43.0,41.0,42.0,42.0,43.0,42.0,42.0,44.0,43.0,44.0,42.0,45.0,42.0,45.0,43.0,43.0,44.0,42.0,42.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,44.0,45.0,44.0,44.0,45.0,44.0,45.0,44.0,42.0,43.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0,45.0,44.0,43.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,45.0,44.0,44.0,45.0,45.0,45.0,NA,NA,NA
S184,1,1,1,1,1,1,1,1,1,1,20.0,21.0,17.0,20.0,18.0,20.0,18.0,21.0,18.0,19.0,23.0,19.0,21.0,21.0,20.0,22.0,20.0,22.0,19.0,22.0,22.0,20.0,22.0,23.0,22.0,21.0,19.0,20.0,22.0,23.0,23.0,23.0,21.0,24.0,22.0,24.0,22.0,23.0,23.0,24.0,23.0,23.0,21.0,22.0,25.0,23.0,23.0,22.0,21.0,25.0,21.0,22.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,23.0,22.0,25.0,24.0,25.0,23.0,25.0,25.0,24.0,23.0,24.0,23.0,24.0,24.0,25.0,24.0,25.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,25.0,24.0,25.0,NA,NA,NA
S185,1,1,1,1,1,1,1,1,1,1,27.0,28.0,29.0,28.0,26.0,28.0,29.0,28.0,29.0,28.0,30.0,28.0,30.0,29.0,28.0,30.0,29.0,29.0,31.0,30.0,31.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,29.0,31.0,30.0,31.0,30.0,30.0,31.0,30.0,31.0,30.0,29.0,31.0,30.0,30.0,30.0,30.0,31.0,30.0,30.0,30.0,31.0,31.0,31.0,29.0,30.0,30.0,30.0,31.0,30.0,31.0,31.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,30.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,NA,NA,NA
S186,1,1,1,1,1,1,1,1,1,1,35.0,36.0,33.0,34.0,33.0,31.0,36.0,34.0,33.0,36.0,38.0,38.0,40.0,38.0,39.0,36.0,37.0,39.0,37.0,36.0,40.0,40.0,39.0,38.0,38.0,38.0,39.0,37.0,38.0,38.0,40.0,39.0,40.0,37.0,40.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,39.0,39.0,40.0,39.0,40.0,40.0,39.0,40.0,39.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,NA,NA,NA
S187,1,1,1,1,1,1,1,1,1,1,31.0,33.0,31.0,35.0,33.0,36.0,33.0,33.0,31.0,35.0,38.0,35.0,34.0,38.0,36.0,32.0,38.0,37.0,34.0,38.0,34.0,39.0,36.0,37.0,39.0,35.0,37.0,37.0,36.0,37.0,40.0,39.0,36.0,40.0,40.0,38.0,40.0,39.0,38.0,38.0,38.0,41.0,40.0,39.0,39.0,39.0,41.0,40.0,39.0,40.0,40.0,42.0,41.0,41.0,40.0,41.0,41.0,41.0,41.0,42.0,41.0,40.0,39.0,42.0,39.0,41.0,40.0,41.0,42.0,41.0,41.0,40.0,41.0,42.0,40.0,42.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,39.0,42.0,41.0,38.0,42.0,42.0,NA,NA,NA
