sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-334_iter-1,depth-334_iter-2,depth-334_iter-3,depth-334_iter-4,depth-334_iter-5,depth-334_iter-6,depth-334_iter-7,depth-334_iter-8,depth-334_iter-9,depth-334_iter-10,depth-667_iter-1,depth-667_iter-2,depth-667_iter-3,depth-667_iter-4,depth-667_iter-5,depth-667_iter-6,depth-667_iter-7,depth-667_iter-8,depth-667_iter-9,depth-667_iter-10,depth-1000_iter-1,depth-1000_iter-2,depth-1000_iter-3,depth-1000_iter-4,depth-1000_iter-5,depth-1000_iter-6,depth-1000_iter-7,depth-1000_iter-8,depth-1000_iter-9,depth-1000_iter-10,depth-1333_iter-1,depth-1333_iter-2,depth-1333_iter-3,depth-1333_iter-4,depth-1333_iter-5,depth-1333_iter-6,depth-1333_iter-7,depth-1333_iter-8,depth-1333_iter-9,depth-1333_iter-10,depth-1667_iter-1,depth-1667_iter-2,depth-1667_iter-3,depth-1667_iter-4,depth-1667_iter-5,depth-1667_iter-6,depth-1667_iter-7,depth-1667_iter-8,depth-1667_iter-9,depth-1667_iter-10,depth-2000_iter-1,depth-2000_iter-2,depth-2000_iter-3,depth-2000_iter-4,depth-2000_iter-5,depth-2000_iter-6,depth-2000_iter-7,depth-2000_iter-8,depth-2000_iter-9,depth-2000_iter-10,depth-2333_iter-1,depth-2333_iter-2,depth-2333_iter-3,depth-2333_iter-4,depth-2333_iter-5,depth-2333_iter-6,depth-2333_iter-7,depth-2333_iter-8,depth-2333_iter-9,depth-2333_iter-10,depth-2666_iter-1,depth-2666_iter-2,depth-2666_iter-3,depth-2666_iter-4,depth-2666_iter-5,depth-2666_iter-6,depth-2666_iter-7,depth-2666_iter-8,depth-2666_iter-9,depth-2666_iter-10,depth-3000_iter-1,depth-3000_iter-2,depth-3000_iter-3,depth-3000_iter-4,depth-3000_iter-5,depth-3000_iter-6,depth-3000_iter-7,depth-3000_iter-8,depth-3000_iter-9,depth-3000_iter-10,Subject,BodySite,DaysSinceExperimentStart
S78,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S79,1,1,1,1,1,1,1,1,1,1,7.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,NA,NA,NA
S8,1,1,1,1,1,1,1,1,1,1,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,NA,NA,NA
S80,1,1,1,1,1,1,1,1,1,1,4.0,3.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,NA,NA,NA
S81,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S82,1,1,1,1,1,1,1,1,1,1,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,6.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,12.0,9.0,11.0,12.0,10.0,12.0,10.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,NA,NA,NA
S83,1,1,1,1,1,1,1,1,1,1,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NA,NA,NA
S84,1,1,1,1,1,1,1,1,1,1,10.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,NA,NA,NA
S85,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S86,1,1,1,1,1,1,1,1,1,1,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,7.0,6.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,9.0,5.0,7.0,5.0,6.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,6.0,6.0,8.0,8.0,7.0,5.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,8.0,6.0,5.0,7.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,10.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,NA,NA,NA
S87,1,1,1,1,1,1,1,1,1,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,NA,NA,NA
S88,1,1,1,1,1,1,1,1,1,1,12.0,12.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,10.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S89,1,1,1,1,1,1,1,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,NA,NA,NA
S9,1,1,1,1,1,1,1,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,NA,NA,NA
S90,1,1,1,1,1,1,1,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S91,1,1,1,1,1,1,1,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,NA,NA,NA
S92,1,1,1,1,1,1,1,1,1,1,11.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,NA,NA,NA
S93,1,1,1,1,1,1,1,1,1,1,9.0,8.0,8.0,10.0,9.0,7.0,7.0,6.0,11.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,12.0,10.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,12.0,11.0,8.0,11.0,10.0,9.0,10.0,13.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,9.0,11.0,11.0,13.0,13.0,11.0,10.0,12.0,11.0,11.0,12.0,13.0,11.0,13.0,11.0,13.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,13.0,13.0,11.0,12.0,NA,NA,NA
S94,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,8.0,5.0,7.0,5.0,6.0,8.0,6.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,9.0,7.0,5.0,7.0,6.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,7.0,7.0,9.0,10.0,7.0,9.0,6.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,NA,NA,NA
S95,1,1,1,1,1,1,1,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,NA,NA,NA
S96,1,1,1,1,1,1,1,1,1,1,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,NA,NA,NA
S97,1,1,1,1,1,1,1,1,1,1,5.0,7.0,7.0,8.0,3.0,7.0,6.0,4.0,9.0,3.0,7.0,8.0,8.0,9.0,6.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0,6.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,11.0,12.0,9.0,11.0,12.0,12.0,12.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,12.0,10.0,12.0,8.0,11.0,11.0,11.0,10.0,12.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,11.0,NA,NA,NA
S98,1,1,1,1,1,1,1,1,1,1,4.0,7.0,5.0,5.0,7.0,8.0,6.0,6.0,8.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,NA,NA,NA
S99,1,1,1,1,1,1,1,1,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NA,NA,NA
